# Some static functions have the same name, ignore them
0x440A10,st_str_ifd_iss
0x440AE0,st_ppd_ifd_isym
0x440BB0,_md_st_internal
0x440C6C,_md_st_error
0x440D28,_md_st_str_extiss
0x440D68,_md_st_str_iss
0x440E18,_md_st_iextmax
0x440E34,_md_st_currentifd
0x440E84,_md_st_malloc
0x440FD0,_md_st_ifdmax
0x440FEC,_md_st_setfd
0x441060,st_cuinit
0x4410D4,st_extadd
0x4412BC,st_pext_iext
0x441330,st_idn_index_fext
0x44146C,st_pdn_idn
0x4414F0,fatal
0x441580,st_internal
0x441640,__sgi_mld_st_commonbegin
0x441684,st_filebegin
0x441920,st_endallfiles
0x441AF0,st_fileend
0x441C90,st_textblock
0x441D90,_sgi_st_blockbegin
0x441EE8,st_blockbegin
0x44203C,st_blockend
0x4421F4,st_blockpop
0x442218,st_procend
0x44247C,st_procbegin
0x44268C,st_sym_idn
0x442774,st_str_idn
0x442808,st_fglobal_idn
0x4428B0,st_psym_idn_offset
0x442AE0,st_fixextindex
0x442B94,st_fixextsc
0x442C10,st_pdadd_idn
0x442C94,st_fixiss
0x442D20,st_changedn
0x442D6C,st_file_idn
0x442EF0,st_tqhigh_iaux
0x442FCC,st_shifttq
0x443088,st_iaux_copyty
0x4433C4,st_changeaux
0x443408,st_addtq
0x443518,st_changeauxrndx
0x443614,st_auxbtadd
0x443684,st_auxisymadd
0x4436C0,st_auxrndxadd
0x443754,st_auxbtsize
0x4437AC,st_auxrndxadd_idn
0x4437F8,st_addcontinued
0x443840,st_feinit
