category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x40B760,None,.L0040B760,@branchlabel,None,None,None,0x4,0xB760,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B768,None,.L0040B768,@branchlabel,None,None,None,0x4,0xB768,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B770,None,.L0040B770,@branchlabel,None,None,None,0x4,0xB770,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B780,None,func_0040B780,@function,None,None,0x1BC,0x1BC,0xB780,.text,True,False,True,False,4,None,False,True,False,True,None,52,False,False
symbol,0x40B7AC,None,.L0040B7AC,@branchlabel,None,None,None,0x4,0xB7AC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B7E0,None,.L0040B7E0,@branchlabel,None,None,None,0x4,0xB7E0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B7F4,None,.L0040B7F4,@branchlabel,None,None,None,0x4,0xB7F4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B808,None,.L0040B808,@branchlabel,None,None,None,0x4,0xB808,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B814,None,.L0040B814,@branchlabel,None,None,None,0x4,0xB814,.text,True,False,True,False,4,None,False,False,False,False,None,None,False,False
symbol,0x40B84C,None,.L0040B84C,@branchlabel,None,None,None,0x4,0xB84C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B864,None,.L0040B864,@branchlabel,None,None,None,0x4,0xB864,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B8A0,None,.L0040B8A0,@branchlabel,None,None,None,0x4,0xB8A0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B8DC,None,.L0040B8DC,@branchlabel,None,None,None,0x4,0xB8DC,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x40B928,None,.L0040B928,@branchlabel,None,None,None,0x4,0xB928,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x40B93C,None,func_0040B93C,@function,None,None,0x118,0x118,0xB93C,.text,True,False,True,False,1,None,False,True,False,True,None,2496,False,False
symbol,0x40B998,None,.L0040B998,@branchlabel,None,None,None,0x4,0xB998,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40B9DC,None,.L0040B9DC,@branchlabel,None,None,None,0x4,0xB9DC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40BA3C,None,.L0040BA3C,@branchlabel,None,None,None,0x4,0xBA3C,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
